clip_id,subject_id,view,side,arm,rep_idx,quality,fps,start_frame,peak_frame,end_frame,min_angle,max_angle,rom,start_angle,peak_angle,end_angle,concentric_ms,eccentric_ms,shoulder_drift_norm,wrist_swing_norm,valid_frame_ratio
clip_004_you_front_both_good,you,front,both,both,6,good,30,1974,2105,2261,14.1836,179.3963,165.2127,179.1381,14.1836,179.3963,4367,5200,0.0597,0.0996,1.0000
clip_004_you_front_both_good,you,front,both,both,7,good,30,2301,2421,2582,9.5581,179.1804,169.6223,179.1804,9.5581,179.1050,4000,5367,0.0592,0.0852,1.0000
clip_004_you_front_both_good,you,front,both,both,8,good,30,2582,2693,2831,7.0850,178.8725,171.7875,178.7292,7.0850,178.4574,3700,4600,0.0632,0.0860,1.0000
clip_005_you_front_both_partial,you,front,both,both,0,bad_partial_rom,30,83,146,247,51.5380,179.3539,127.8159,178.4507,51.5380,179.3539,2100,3367,0.0362,0.1035,1.0000
clip_005_you_front_both_partial,you,front,both,both,1,bad_partial_rom,30,342,406,483,56.2000,179.6009,123.4009,179.6009,56.2000,179.3395,2133,2567,0.0294,0.0674,1.0000
clip_005_you_front_both_partial,you,front,both,both,2,bad_partial_rom,30,342,440,483,56.2000,179.6009,123.4009,179.6009,58.1404,179.3395,3267,1433,0.0294,0.0674,1.0000
clip_005_you_front_both_partial,you,front,both,both,3,bad_partial_rom,30,588,631,724,21.5495,179.0787,157.5292,178.9862,21.5495,179.0787,1433,3100,0.0339,0.0819,1.0000
clip_005_you_front_both_partial,you,front,both,both,4,bad_partial_rom,30,803,874,965,44.2406,179.0908,134.8502,179.0908,44.2406,178.3361,2367,3033,0.0266,0.0804,1.0000
clip_005_you_front_both_partial,you,front,both,both,5,bad_partial_rom,30,1036,1082,1210,61.6184,179.2762,117.6578,179.2762,63.6087,178.2649,1533,4267,0.0248,0.1025,1.0000
clip_005_you_front_both_partial,you,front,both,both,6,bad_partial_rom,30,1036,1138,1210,61.6184,179.2762,117.6578,179.2762,61.6184,178.2649,3400,2400,0.0248,0.1025,1.0000
